Country/Region,Province/State,Confirmed,Recovered,Deaths,Date
China,Beijing,14,,,2020-01-22
China,Beijing,22,,,2020-01-23
China,Beijing,36,1,,2020-01-24
China,Beijing,41,2,,2020-01-25
China,Beijing,68,2,,2020-01-26
China,Beijing,80,2,1,2020-01-27
China,Beijing,91,4,1,2020-01-28
China,Beijing,111,4,1,2020-01-29
China,Beijing,114,4,1,2020-01-30
China,Beijing,139,5,1,2020-01-31
China,Beijing,168,9,1,2020-02-01
China,Beijing,191,9,1,2020-02-02
China,Beijing,212,12,1,2020-02-03
China,Beijing,228,23,1,2020-02-04
China,Beijing,253,24,1,2020-02-05
China,Beijing,274,31,1,2020-02-06
China,Beijing,297,33,1,2020-02-07
China,Beijing,315,34,2,2020-02-08
China,Beijing,326,37,2,2020-02-09
China,Beijing,337,44,2,2020-02-10
China,Beijing,342,48,3,2020-02-11
China,Beijing,352,56,3,2020-02-12
China,Beijing,366,69,3,2020-02-13
China,Beijing,372,80,3,2020-02-14
China,Beijing,375,98,4,2020-02-15
China,Beijing,380,108,4,2020-02-16
China,Beijing,381,114,4,2020-02-17
China,Beijing,387,122,4,2020-02-18
China,Beijing,393,145,4,2020-02-19
China,Beijing,395,153,4,2020-02-20
China,Beijing,396,169,4,2020-02-21
China,Beijing,399,178,4,2020-02-22
China,Beijing,399,189,4,2020-02-23
China,Beijing,399,198,4,2020-02-24
China,Beijing,400,215,4,2020-02-25
China,Beijing,400,235,4,2020-02-26
China,Beijing,410,248,5,2020-02-27
China,Beijing,410,257,7,2020-02-28
China,Beijing,411,271,8,2020-02-29
China,Beijing,413,276,8,2020-03-01
China,Beijing,414,282,8,2020-03-02
China,Beijing,414,288,8,2020-03-03
China,Beijing,418,297,8,2020-03-04
China,Beijing,418,297,8,2020-03-05
China,Beijing,422,299,8,2020-03-06
China,Beijing,426,303,8,2020-03-07
China,Beijing,428,308,8,2020-03-08
China,Beijing,428,315,8,2020-03-09
China,Beijing,429,320,8,2020-03-10
China,Beijing,435,326,8,2020-03-11
China,Beijing,435,334,8,2020-03-12
China,Beijing,436,342,8,2020-03-13
China,Beijing,437,349,8,2020-03-14
China,Beijing,442,353,8,2020-03-15
China,Beijing,452,360,8,2020-03-16
China,Beijing,456,369,8,2020-03-17
China,Beijing,469,378,8,2020-03-18
